,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:Raanan.shmueli@gmail.com,Raanan.shmueli@gmail.com,"Адвокат в Крайот Раанан Шмуэли","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Раанан Шмуэли
				ул. Моше Гошен 91, Кирьят Моцкин				(5-й эт.)				Тел. 052-6777142, 04-8710610				Факс. 04-8707043Raanan.shmueli@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:jmargulis@gmail.com,jmargulis@gmail.com,"Адвокат- нотариус в Крайот Маргулис Женя","Адвокаты, нотариусы (75) ","
				Адвокат- нотариус в Крайот Маргулис Женя
				ул. Дерех Акко 140, офис 18, Кирьят Бялик								Тел. 04-8705095, 052-3209822				Факс. 04-8705095jmargulis@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:ak@iadvocate.co.il,ak@iadvocate.co.il,"Адвокатский офис Коваленко и Зернопольский","Адвокаты, нотариусы (75) ","
				Адвокатский офис Коваленко и Зернопольский
				ул. Менахем Бегин 125, Тель-Авив				(1-й эт.)				Тел. 03-5077222, 054-6802737, 052-4048010				Факс. 03-6078889ak@iadvocate.co.ilhttp://www.iadvocate.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
"mailto: gineirin@gmail.com"," gineirin@gmail.com","Адвокат в Хайфе Ирина Гинер","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Ирина Гинер
				ул. Хаят 3, Хайфа								Тел. 054-7764491,  04-8668067				Факс. 04-8620005 gineirin@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:boris@pblaw.co.il,boris@pblaw.co.il,"Адвокат в Модиине Борис Перельман","Адвокаты, нотариусы (75) ","
				Адвокат в Модиине Борис Перельман
				ул. Ар'ар 9, Модиин								Тел. 08-9701236				Факс. 08-9701237boris@pblaw.co.ilhttp://pblaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:yaronlaw@gmail.com,yaronlaw@gmail.com,"Адвокат в Крайот Ярон Баршешет","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Ярон Баршешет
				ул. Ацмаут 42, Кирьят-Ата								Тел. 054-5522570, 077-4050841				Факс. 077-3533231yaronlaw@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:nir.b.adv@gmail.com,nir.b.adv@gmail.com,"Адвокат Нир Баркон в Крайот","Адвокаты, нотариусы (75) ","
				Адвокат Нир Баркон в Крайот
				ул. Ахи Эйлат 62, Кирьят Хаим								Тел. 072-2411772, 050-8329646				Факс. 072-2448242nir.b.adv@gmail.comhttp://nirbadv.wix.com/barkonlaw",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:yurovsky.n@gmail.com,yurovsky.n@gmail.com,"Адвокат-нотариус в Крайот - Натали Юровски","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Крайот - Натали Юровски
				ул. ХаАцмаут 59, Кирьят Ата								Тел. 054-6850408, 04-8450430, 077-5090064				Факс. 04-8439579yurovsky.n@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
,,"Адвокат в Израиле Виталия Цион","Адвокаты, нотариусы (75) ","
				Адвокат в Израиле Виталия Цион
				ул. Йосеф Элияу 14, Тель-Авив								Тел. 03-5283336, 052-2583984http://vita-tsion.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:lichter.olga@gmail.com,lichter.olga@gmail.com,"Адвокат - нотариус в Хайфе Ольга Лихтер","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус в Хайфе Ольга Лихтер
				ул. Герцель 16, Хайфа				(3-й эт., 304 каб.)				Тел. 04-8661698				Факс. 04-8640035lichter.olga@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:irenadvokat@gmail.com,irenadvokat@gmail.com,"Адвокат-нотариус Ирина Черняк Шварцбурд","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус Ирина Черняк Шварцбурд
				ул. Бен Гурион 63, Кирьят Бялик				(6-й эт.)				Тел. 052-6700507, 077-5497760irenadvokat@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
"mailto:advvadim@gmail.com ","advvadim@gmail.com ","Нотариус - Адвокат Вадим Волох","Адвокаты, нотариусы (75) ","
				Нотариус - Адвокат Вадим Волох
				ул. Цамарот 15, Лод								Тел. 054-7555209				Факс. 08-9201220advvadim@gmail.com http://vadimvoloh.b144sites1.co.il/about.html",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:goren54@netvision.net.il,goren54@netvision.net.il,"Адвокат в Крайот Шломо Горен ","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Шломо Горен 
				ул. Дерех Акко 61, Кирьят Моцкин								Тел. 052-4703195, 04-8400406, 052-3977877				Факс. 04-8725113goren54@netvision.net.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:notarius10@gmail.com,notarius10@gmail.com,"Адвокат-нотариус Наталья Шнеерсон","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус Наталья Шнеерсон
				ул. Бен-Иегуда 32, Тель-Авив				(Бейт Эль-Аль), 6 этаж, офис 620				Тел. 03-6200469, 054-5300000				Факс. 03-5280573notarius10@gmail.comhttp://notarius.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:igor.poprugin@gmail.com,igor.poprugin@gmail.com,"Адвокат Игорь Попругин","Адвокаты, нотариусы (75) ","
				Адвокат Игорь Попругин
				ул. Бен Гурион 63, Кирьят Бялик				(4-й эт.)				Тел. 054-7550014, 04-8737373				Факс. 04-8700401igor.poprugin@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:erlich12@inter.net.il,erlich12@inter.net.il,"Адвокат-нотариус в Хайфе - Олег Эрлих","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Хайфе - Олег Эрлих
				ул. ХаБанким 3, Хайфа				(1-й эт.)				Тел. 077-7144433, 052-2484795				Факс. 077-7911503erlich12@inter.net.ilhttp://erlihlaw.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:chamaso@gmail.com,chamaso@gmail.com,"Адвокат в Тель-Авиве Максим Михаэли","Адвокаты, нотариусы (75) ","
				Адвокат в Тель-Авиве Максим Михаэли
				ул. Абба Хилель Сильвер 7, Рамат-Ган				Башня ""Сильвер Тауэр"", 11 эт.				Тел. 052-5033777, 054-2553314				Факс. 03-7166020chamaso@gmail.comhttp://inlaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Адвокаты, нотариусы (75) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
,,"Адвокат - нотариус Эрез (Игорь) Калантыря","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус Эрез (Игорь) Калантыря
				ул. Гошен 6, Кирьят Моцкин								Тел. 04-8731306, 054-7760002",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:Nirlaw123@gmail.com,Nirlaw123@gmail.com,"Адвокат в Крайот Шабтай Нир","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Шабтай Нир
				ул. ХаАцмаут 64, Кирьят-Ата								Тел. 04-8444445				Факс. 04-8439839Nirlaw123@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:michael@levitlaw.co.il,michael@levitlaw.co.il,"Адвокат - нотариус в Тель-Авиве Михаил Левит","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус в Тель-Авиве Михаил Левит
				ул. Абоним 2, Рамат-Ган								Тел. 03-6121158, 050-5261316				Факс. 03-7512671michael@levitlaw.co.ilhttp://levitlaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:morans12.law@gmail.com,morans12.law@gmail.com,"Адвокат в Крайот Моран Савьон","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Моран Савьон
				ул. Шд. Бен-Гурион 64, Кирьят-Моцкин								Тел. 04-8770002, 04-8770090				Факс. 04-8770094morans12.law@gmail.comhttp://savyon-law.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:ziyadsimadv@gmail.com,ziyadsimadv@gmail.com,"Адвокат - нотариус Саман Зиад","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус Саман Зиад
				ул. Рав Кук 22, Маалот				(""Мерказ Месхари"")				Тел. 04-9975713				Факс. 04-9972631ziyadsimadv@gmail.comhttp://lawyer10.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:ilanabh85@gmail.com,ilanabh85@gmail.com,"Адвокат и медиатор Илана Бен Хаим","Адвокаты, нотариусы (75) ","
				Адвокат и медиатор Илана Бен Хаим
				ул. Моше Гошен 91, Кирьят Моцкин				(5-й эт.)				Тел. 050-7724284, 04-8730130				Факс. 04-8733010ilanabh85@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:alissa_driker@yahoo.com,alissa_driker@yahoo.com,"Адвокат Алиса Дрикерман","Адвокаты, нотариусы (75) ","
				Адвокат Алиса Дрикерман
				ул. ХаХарошет 11, Кармиэль				(2-й эт., рядом с ""Мебель Зильбер"")				Тел. 050-4877711				Факс. 04-6781122alissa_driker@yahoo.comhttp://drikman.kidumnet.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:office@ta-law.net,office@ta-law.net,"Адвокаты в Крайот ""Таль и Айш""","Адвокаты, нотариусы (75) ","
				Адвокаты в Крайот ""Таль и Айш""
				ул. Керен ХаЙесод 1, Кирьят Бялик								Тел. 04-3732000, 072-3267249office@ta-law.nethttp://ta-law.zapages.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:natali312@walla.com,natali312@walla.com,"Адвокат Темцин Натали","Адвокаты, нотариусы (75) ","
				Адвокат Темцин Натали
				ул. ХаХарошет 49, Кармиэль								Тел. 052-8781738natali312@walla.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:rismans@hotmail.com,rismans@hotmail.com,"Адвокат в Ашкелоне Сергей Рисман","Адвокаты, нотариусы (75) ","
				Адвокат в Ашкелоне Сергей Рисман
				ул. Герцель 5, Ашкелон				(5-й этаж)				Тел. 08-6782699, 054-7373121rismans@hotmail.comhttp://rismanslaw.gid.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:irena.laws@gmail.com,irena.laws@gmail.com,"Адвокат в Кармиэле Ирена Айзенберг","Адвокаты, нотариусы (75) ","
				Адвокат в Кармиэле Ирена Айзенберг
				ул. ХаХарошет 5, Кармиэль				(рядом с б.к. ""Меухэдэт"")				Тел. 052-6611989, 04-8260650				Факс. 072-2578574irena.laws@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:myshka13@gmail.com,myshka13@gmail.com,"Адвокат в Хайфе Елизавета Карапетова","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Елизавета Карапетова
				ул. Бялик 3, Хайфа 				(9-й эт.)				Тел. 04-8699855, 054-4458013				Факс. 04-8650840myshka13@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
